,0
0,Markus Howard
1,Myles Powell
2,Aaron Nesmith
3,Obi Toppin
4,Jordan Nwora
5,Grant Riller
6,Anthony Edwards
7,Derrick Alston
8,Devon Dotson
9,James Wiseman
10,Cole Anthony
11,Payton Pritchard
12,Kira Lewis
13,"Vernon Carey, Jr."
14,Cassius Winston
15,Onyeka Okongwu
16,Jahmi'us Ramsey
17,LaMelo Ball
18,Isaiah Stewart II
19,Naji Marshall
20,Anthony Lamb
21,Tyrese Haliburton
22,Isaiah Joe
23,Skylar Mays
24,Zeke Nnaji
25,A.J. Lawson
26,Filip Petrusev
27,Tre Jones
28,Paul Reed
29,Isaiah Livers
30,Nico Mannion
31,Jaden McDaniels
32,Ayo Dosunmu
33,Trevelin Queen
34,Rayshaun Hammonds
35,Nahziah Carter
36,Reggie Perry
37,Paul Scruggs
38,Precious Achiuwa
39,Isaac Okoro
40,Jarron Cumberland
41,Isaac Likekele
42,Killian Tillie
43,Jalen Smith
44,Xavier Tillman
45,Mamadi Diakite
46,Tyrese Maxey
47,Trendon Watford
48,Tyler Bey
49,Ashton Hagans
50,Josh Green
51,Giorgos Kalaitzakis
52,Devin Vassell
53,Ochai Agbaji
54,Aleksej Pokusevski
55,Xavier Johnson
56,Aleksa Radanov
57,Abdoulaye N'Doye
58,Oscar Tshiebwe
59,Cassius Stanley
60,Gytis Masiulis
61,Aaron Henry
62,Aaron Wiggins
63,Matthew Hurt
64,R.J. Hampton
65,Cameron McGriff
66,Killian Hayes
67,DeJon Jarreau
68,Boogie Ellis
69,Isaiah Mobley
70,Patrick Williams
71,Franz Wagner
72,Dalibor Ilic
73,Amar Sylla
74,Nikita Mikhailovskii
75,Scottie Lewis
76,Isaiah Mucius
77,Wendell Moore
78,A.J. Reeves
79,Malcolm Cazalon
80,Henri Drell
81,Neemias Queta
82,Paul Eboua
83,Khalil Whitney
84,Theo Maledon
85,Deni Avdija
86,Leandro Bolmaro
87,Tristan Enaruna
88,Borisa Simanic
89,Biram Faye
90,Kenny Baptiste
91,Alonzo Gaffney
92,Terry Armstrong
93,Arturs Zagars
94,Matthieu Gauzin
